OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
47.21,48.42,47.09,48.34,52992200,0.0,0,QQQ,2011-09-06,534.0,27281.62,25210.14,0.9240704914150992
49.03,49.58,48.9,49.57,48952200,0.0,0,QQQ,2011-09-07,534.0,27281.62,26182.02,0.9596944756213158
49.31,50.05,49.18,49.34,61422800,0.0,0,QQQ,2011-09-08,534.0,27281.62,26331.54,0.9651750885761183
49.0,49.2,47.94,48.24,63663500,0.0,0,QQQ,2011-09-09,534.0,27281.62,26166.0,0.959107267090444
47.71,48.9,47.69,48.86,65973000,0.0,0,QQQ,2011-09-12,554.0,28235.82,26431.34,0.9360925236100811
49.04,49.61,48.81,49.51,59020000,0.0,0,QQQ,2011-09-13,554.0,28235.82,27168.16,0.9621877459198989
49.77,50.78,49.28,50.22,90757300,0.0,0,QQQ,2011-09-14,554.0,28235.82,27572.58,0.9765106874884456
50.76,51.06,50.25,50.96,83536100,0.0,0,QQQ,2011-09-15,554.0,28235.82,28121.039999999997,0.9959349507115429
51.08,51.49,50.98,51.43,91902100,0.1,0,QQQ,2011-09-16,554.0,28235.82,28298.32,1.002213500440221
50.8,51.72,50.38,51.45,73042900,0.0,0,QQQ,2011-09-19,573.0,29201.02,29108.399999999998,0.9968281929877791
51.71,52.12,51.1,51.22,66570100,0.0,0,QQQ,2011-09-20,573.0,29201.02,29629.83,1.0146847610117729
51.49,51.74,50.32,50.33,79938000,0.0,0,QQQ,2011-09-21,573.0,29201.02,29503.77,1.0103677885224558
49.05,49.5,47.94,48.7,151885500,0.0,0,QQQ,2011-09-22,573.0,29201.02,28105.649999999998,0.9624886390954835
48.29,49.42,48.25,49.21,85940600,0.0,0,QQQ,2011-09-23,573.0,29201.02,27670.17,0.9475754614051152
49.46,49.88,48.36,49.79,96261400,0.0,0,QQQ,2011-09-26,593.0,30190.22,29329.78,0.9714993796004135
50.63,51.08,49.97,50.3,81148600,0.0,0,QQQ,2011-09-27,593.0,30190.22,30023.59,0.994480662943165
50.52,50.87,49.44,49.56,76757100,0.0,0,QQQ,2011-09-28,593.0,30190.22,29958.36,0.9923200294664961
50.31,50.38,48.14,48.97,116900200,0.0,0,QQQ,2011-09-29,593.0,30190.22,29833.83,0.98819518373831
48.31,48.72,47.68,47.71,104870100,0.0,0,QQQ,2011-09-30,593.0,30190.22,28647.83,0.9489109387079657
47.28,48.03,46.45,46.48,99149500,0.0,0,QQQ,2011-10-03,614.0,31183.100000000002,29029.920000000002,0.9309504186562593
46.01,47.52,45.53,47.43,137013700,0.0,0,QQQ,2011-10-04,614.0,31183.100000000002,28250.14,0.9059439247541136
47.31,48.79,46.95,48.65,108825700,0.0,0,QQQ,2011-10-05,614.0,31183.100000000002,29048.34,0.9315411232366249
48.59,49.48,48.36,49.47,71939200,0.0,0,QQQ,2011-10-06,614.0,31183.100000000002,29834.260000000002,0.9567445186655592
49.44,49.68,48.82,49.14,72525200,0.0,0,QQQ,2011-10-07,614.0,31183.100000000002,30356.16,0.9734811484425858
49.98,50.84,49.89,50.84,48230200,0.0,0,QQQ,2011-10-10,634.0,32182.7,31687.32,0.9846072579367176
50.7,51.31,50.62,51.19,66449100,0.0,0,QQQ,2011-10-11,634.0,32182.7,32143.800000000003,0.998791276058255
51.68,52.01,51.4,51.44,85627600,0.0,0,QQQ,2011-10-12,634.0,32182.7,32765.12,1.0180973007236807
51.34,51.98,51.29,51.91,63443700,0.0,0,QQQ,2011-10-13,634.0,32182.7,32549.56,1.0113992921662882
52.55,52.89,52.27,52.88,65643600,0.0,0,QQQ,2011-10-14,634.0,32182.7,33316.7,1.0352363226205383
52.63,52.79,51.78,52.06,65161300,0.0,0,QQQ,2011-10-17,653.0,33182.67,34367.39,1.0357029738716024
51.98,52.98,51.5,52.7,91434600,0.0,0,QQQ,2011-10-18,653.0,33182.67,33942.939999999995,1.022911658404824
52.41,52.58,51.51,51.69,67639400,0.0,0,QQQ,2011-10-19,653.0,33182.67,34223.729999999996,1.0313736055597695
51.68,51.73,50.7,51.43,80378300,0.0,0,QQQ,2011-10-20,653.0,33182.67,33747.04,1.017007974343234
51.98,52.4,51.6,52.08,60455800,0.0,0,QQQ,2011-10-21,653.0,33182.67,33942.939999999995,1.022911658404824
52.27,53.3,52.09,53.16,61449500,0.0,0,QQQ,2011-10-24,672.0,34175.799999999996,35125.44,1.027786913547013
52.99,53.0,52.0,52.11,65299200,0.0,0,QQQ,2011-10-25,672.0,34175.799999999996,35609.28,1.041944299767672
52.4,52.51,51.09,52.05,98193800,0.0,0,QQQ,2011-10-26,672.0,34175.799999999996,35212.799999999996,1.0303431082812984
53.29,53.8,52.74,53.49,104455500,0.0,0,QQQ,2011-10-27,672.0,34175.799999999996,35810.88,1.0478432106929465
53.19,53.63,53.17,53.57,42950000,0.0,0,QQQ,2011-10-28,672.0,34175.799999999996,35743.68,1.0458769070511884
53.1,53.29,52.63,52.67,60520200,0.0,0,QQQ,2011-10-31,690.0,35131.6,36639.0,1.0429072402053992
51.37,52.63,51.0,51.3,99933000,0.0,0,QQQ,2011-11-01,690.0,35131.6,35445.299999999996,1.0089292830386318
51.83,51.95,51.24,51.73,65003800,0.0,0,QQQ,2011-11-02,690.0,35131.6,35762.7,1.0179638843662115
52.14,52.88,51.54,52.8,78994200,0.0,0,QQQ,2011-11-03,690.0,35131.6,35976.6,1.0240524200434935
52.55,52.76,52.0,52.53,61527800,0.0,0,QQQ,2011-11-04,690.0,35131.6,36259.5,1.0321049994876408
52.49,52.94,51.96,52.9,65559000,0.0,0,QQQ,2011-11-07,709.0,36128.909999999996,37215.41,1.0300728696215857
53.29,53.6,52.69,53.51,62906900,0.0,0,QQQ,2011-11-08,709.0,36128.909999999996,37782.61,1.0457722084613126
52.48,52.56,51.47,51.63,69539000,0.0,0,QQQ,2011-11-09,709.0,36128.909999999996,37208.32,1.0298766278860891
52.14,52.19,51.1,51.6,66052400,0.0,0,QQQ,2011-11-10,709.0,36128.909999999996,36967.26,1.0232044088792052
52.05,52.73,51.99,52.58,54471000,0.0,0,QQQ,2011-11-11,709.0,36128.909999999996,36903.45,1.0214382332597358
52.43,52.72,52.06,52.25,44617600,0.0,0,QQQ,2011-11-14,728.0,37125.079999999994,38169.04,1.028120074084689
